file,year,artificial_intelligence,intelligence_services,cybersecurity,akshi_institutional,digital_transformation
cmm0oktjk0040pwrxc7f58q4o_Punime te_ Kuvendit_  viti 2022_ nr_ 1.txt,2022,0,2,1,2,16
cmm0oktkh0042pwrxs0lr1gal_Punime te_ Kuvendit_  viti 2022_ nr_ 3.txt,2022,2,2,51,7,22
cmm0oktkw0043pwrxi8e9u8gr_Punime te_ Kuvendit_  viti 2022_ nr_ 4.txt,2022,2,3,9,3,80
cmm0oktla0044pwrx6y3hvohj_Punime te_ Kuvendit_  viti 2022_ nr_ 5.txt,2022,2,0,1,0,20
cmm0oktma0046pwrx11aotzis_Punime te_ Kuvendit_  viti 2022_ nr_ 7.txt,2022,5,11,83,15,55
cmm0oktmn0047pwrxj9msqbdo_Punime te_ Kuvendit_  viti 2022_ nr_ 8.txt,2022,1,2,103,25,33
cmm0nbrft00078h9aatme2tw7_Punime te_ Kuvendit_  viti 2023_ nr_ 1.txt,2023,4,15,5,1,3
cmm0nch4s00088h9airmaqp6x_Punime te_ Kuvendit_  viti 2023_ nr_ 2.txt,2023,3,1,8,2,20
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,2023,15,16,18,55,85
cmm0ndy9o000a8h9ayvwx8dnn_Punime te_ Kuvendit_  viti 2023_ nr_ 4.txt,2023,3,9,9,1,37
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,2023,2,0,11,7,10
cmm0ney54000c8h9a53um2u3v_Punime te_ Kuvendit_  viti 2023_ nr_ 6.txt,2023,0,2,0,0,11
cmm0ng98o000d8h9andnyyhef_Punime te_ Kuvendit_  viti 2024_ nr_ 2.txt,2024,1,2,7,1,16
cmm0nguvo000e8h9a8ai5l4n9_Punime te_ Kuvendit_  viti 2024_ nr_ 3.txt,2024,3,5,9,4,53
cmm0nkgxc000f8h9awemhq0x5_Punime te_ Kuvendit_  viti 2024_ nr_ 4.txt,2024,7,82,20,4,26
cmm0nl8se000g8h9ag186u8t2_Punime te_ Kuvendit_  viti 2024_ nr_ 6.txt,2024,6,9,31,1,43
cmm0nloz7000h8h9a1j8nzpcz_Punime te_ Kuvendit_  viti 2024_ nr_ 7.txt,2024,8,3,24,7,32
cmm0nm3a1000i8h9azxbkksoq_Punime te_ Kuvendit_  viti 2024_ nr_ 8.txt,2024,1,1,0,0,11
cmm0nmx7k000j8h9aar6pibyz_Punime te_ Kuvendit_  viti 2024_ nr_ 9.txt,2024,4,7,4,1,46
cmm0nnh9w000k8h9akxt013fj_Punime te_ Kuvendit_  viti 2024_ nr_ 10.txt,2024,12,5,5,11,84
