topic_id,top_words
0,"tjetër, madhe, bëhet, politike, bashkitë, tha, rëndësishme, shqiptar, ana, drejtë"
1,"felaj, ermonela, jeni, minuta, kërkuar, dispozicion, koha, sallë, jua, salla"
2,"mos, ndaj, qytetarët, qytetarëve, bëjmë, mundësi, ketë, opozitës, shqiptarë, shqiptarët"
3,"publike, ekonomike, komisioni, ligjore, çështjet, ekonomisë, ministria, administratës, përtej, arsimit"
4,"milionë, thoni, ligj, jep, vendor, drejt, dorë, nisur, institucion, njëri"
5,"lekë, euro, mijë, ose, atje, reforma, orë, keq, paktën, njerëzit"
6,"gjë, pse, thotë, kishte, qoftë, çështje, kaq, dot, dini, asgjë"
7,"kuvendit, kolegët, komisionit, rregullores, dakord, komisionin, bazë, ndryshuar, pika, seancë"
8,"partisë, demokratike, parlamentar, socialiste, partia, kulturore, midis, grupit, emër, prodhimit"
9,"këtë, sot, gjithë, vetëm, unë, duke, këtu, bërë, apo, gjitha"
10,"shqipërisë, financiare, mëdha, rritjen, nëpërmjet, pushtet, kombëtare, lokale, sociale, ligjit"
11,"lartë, vit, rritje, vogël, kombëtar, miratuar, raporti, drejtësisë, duam, këshillit"
12,"administrative, vendore, europian, kundër, reformës, ligjin, normativ, pro, bashkimit, vota"
13,"shërbimeve, rrugë, hapur, kërkon, akt, pikë, thjeshtë, shumicë, njësive, votimit"
14,"kolegë, lindita, nikolla, deputetë, qytetarë, ditës, seancës, kryetare, zotin, dashur"
