url,title,outlet,date,char_count_used,was_truncated,sentiment_label,sentiment_score,emotion_label,emotion_score
https://tiranaexaminer.com/rama-in-seoul-a-visit-that-brings-two-distant-histories-closer/,Rama in Seoul : A Visit That Brings Two Distant Histories Closer – Tirana Examiner,tiranaexaminer.com,20260521T150000Z,2000,True,POSITIVE,0.999,neutral,0.745
https://www.nakedcapitalism.com/2026/05/ready-or-not-ai-government-is-already-here.html,"Ready or Not , AI Government is Already Here",nakedcapitalism.com,20260515T113000Z,2000,True,POSITIVE,0.987,neutral,0.75
https://slguardian.org/ready-or-not-ai-government-is-already-here/,"Ready or Not , AI Government is Already Here",slguardian.org,20260514T051500Z,2000,True,POSITIVE,0.993,neutral,0.948
https://tiranaexaminer.com/rama-addresses-eu-accession-final-phase-national-development-roadmap-un-strategic-partnership-and-albanian-digital-solutions/,"Rama Addresses EU Accession Final Phase , National Development Roadmap , UN Strategic Partnership , and Albanian Digital Solutions – Tirana Examiner",tiranaexaminer.com,20260601T120000Z,2000,True,POSITIVE,0.998,neutral,0.637
https://balkaninsight.com/2026/04/28/in-an-albanian-graft-case-fake-buyers-friendly-rates-cash-in-crates/bi/,"In an Albanian Graft Case , Fake Buyers ,  Friendly  Rates , Cash in Crates",balkaninsight.com,20260428T063000Z,1260,False,NEGATIVE,0.994,neutral,0.605
https://www.theguardian.com/world/2025/sep/11/albania-diella-ai-minister-public-procurement,Albania puts AI-created ‘minister’ in charge of public procurement,The Guardian,2025-09-11T16:46:00Z,2000,True,POSITIVE,0.998,neutral,0.756
https://www.bbc.co.uk/news/articles/cm2znzgwj3xo,"World's first AI minister will eliminate corruption, says Albania's PM",BBC,2025-09-12,1827,False,POSITIVE,0.996,disgust,0.574
https://gfmag.com/economics-policy-regulation/albania-ai-chatbot-minister-joins-government/,Albania: AI ChatBot Minister Joins Government,Global Finance,2025-09-15,2000,True,NEGATIVE,0.998,neutral,0.404
https://www.nytimes.com/2026/01/27/world/europe/albania-ai-corruption-graft.html,Albania Created an 'A.I. Minister' to Curb Corruption. Then Its Developers Were Accused of Graft.,The New York Times,2026-01-27,2000,True,POSITIVE,0.986,disgust,0.629
https://www.dw.com/en/albanian-actor-anila-bisha-sues-government-over-use-of-image-voice-for-diella-virtual-minister/a-76090488,"Albanian actor Anila Bisha sues government over use of image, voice for Diella virtual minister",Deutsche Welle (DW),2026-02-23,2000,True,NEGATIVE,0.998,surprise,0.73
https://www.digitaljournal.com/article/albania-appoints-its-first-ever-ai-bot-as-minister-in-parliament-to-tackle-corruption/,Albania appoints its first ever AI bot as minister in parliament to tackle corruption,Digital Journal,2025-09-19,2000,True,NEGATIVE,0.994,neutral,0.53
https://www.politico.eu/article/albania-government-diella-ai-minister-anila-bisha/,Albania government Diella AI minister Anila Bisha (lawsuit coverage),POLITICO Europe,2026-02-11,1228,False,NEGATIVE,0.998,anger,0.727
https://www.nbcnews.com/world/europe/albania-artificial-intelligence-government-minister-diella-actor-bisha-rcna258727,Albania artificial intelligence government minister Diella actor Bisha,NBC News,2026-02-12,2000,True,NEGATIVE,0.997,anger,0.494
https://english.elpais.com/international/2026-02-19/albania-europes-laboratory-where-ai-combats-or-hides-corruption.html,Albania: Europe's laboratory where AI combats or hides corruption,El Pais (English),2026-02-19,2000,True,POSITIVE,0.979,neutral,0.492
https://balkaninsight.com/2026/02/13/actress-sues-albanian-govt-for-using-her-image-for-ai-minister/bi/,Actress sues Albanian govt for using her image for AI minister,Balkan Insight,2026-02-13,2000,True,NEGATIVE,0.998,anger,0.976
https://www.bta.bg/en/news/balkans/1156491-from-ai-minister-to-virtual-ombudsman-the-balkans-enter-era-of-ai-powered-gover,From AI minister to virtual ombudsman: the Balkans enter era of AI-powered governance,BTA (Bulgarian News Agency),2026-06-27,2000,True,POSITIVE,0.997,neutral,0.894
https://seenews.com/news/albania-lays-groundwork-for-ai-powered-procurement-system-1294500,Albania lays groundwork for AI-powered procurement system,SeeNews,2026-05-11,1286,False,POSITIVE,0.998,neutral,0.873
https://www.bhaskarenglish.in/international/news/albania-officials-house-arrest-bribery-govt-contracts-137068653.html,Albania officials house arrest bribery govt contracts,Dainik Bhaskar (English),2026-01-29,2000,True,NEGATIVE,0.996,anger,0.483
