,gross_pay,gross_pay,net_pay,net_pay
,mean,count,mean,count
partia_normalized,,,,
Lëvizja Bashkë,299594.83838383836,9,217042.13047474748,9
Lëvizja Socialiste për Integrim,245171.99825174824,156,165738.853,156
Nisma Shqipëria Bëhet,299594.83838383836,9,191717.3526969697,9
Partia Demokratike,256757.98583765113,2895,178332.39336324384,2895
Partia Mundësia,261086.67922077925,70,154515.52662857142,70
Partia Socialdemokrate,255090.3843498274,158,184734.7032013809,158
Partia Socialiste,257221.45557914735,3254,186377.64135254856,3255
